Use,UseNonUse,Slope,CoverDist,Roads,AllTrails
0,0,9.462322235,0,787,228
0,0,39.8562088,0,690,247
0,0,0,7,150,153
0,0,11.38616467,0,30,671
0,0,10.55538082,0,457,42
0,0,7.653048515,0,335,192
0,0,0,0,741,60
0,0,11.90468788,0,711,42
0,0,0,16,630,300
0,0,10.43076038,0,283,134
0,0,0,0,270,90
0,0,0,5,268,60
0,0,23.42869186,0,1040,268
0,0,44.03323364,5,361,350
0,0,0,0,603,67
0,0,7.825525761,0,999,170
0,0,0,0,306,330
0,0,44.31968689,0,720,324
0,0,3.016961336,0,799,0
0,0,18.77467537,0,570,150
0,0,33.39825058,0,594,573
0,0,0,0,726,95
0,0,21.83567238,0,1134,319
0,0,18.96231842,0,1142,283
0,0,2.698951006,5,60,0
0,0,0,0,420,268
0,0,1.350224495,7,691,0
0,0,3.438912392,25,277,85
0,0,0,0,849,42
0,0,0,0,600,90
0,0,30.80698204,0,721,644
0,0,0,0,30,150
0,0,0,39,576,134
0,0,0,0,481,210
0,0,13.06915188,5,466,42
0,0,26.62858963,0,900,589
0,0,10.04678822,0,216,108
0,0,7.233844757,0,360,256
0,0,0,0,757,42
0,0,18.17476273,0,1207,417
0,0,11.49946594,10,124,190
0,0,6.853224754,32,633,228
0,0,29.85463905,0,108,190
0,0,1.909152389,0,256,240
0,0,10.75958347,0,703,175
0,0,6.721369267,0,390,30
0,0,38.66587067,0,323,309
0,0,10.04678822,5,309,60
0,0,8.582483292,5,671,67
0,0,0,5,558,162
0,0,0,21,150,510
0,0,0,5,134,228
0,0,23.75010109,0,150,127
0,0,0,0,750,258
0,0,0,5,0,408
0,0,0,0,711,537
0,0,27.89731216,0,1019,711
0,0,8.530765533,0,764,60
0,0,3.931095839,0,1142,297
0,0,14.95924664,0,90,560
0,0,0,0,604,85
0,0,20.97349358,0,641,182
0,0,0.954841316,0,553,150
0,0,26.57777786,0,1062,725
0,0,6.379370213,11,180,153
0,0,17.54840088,0,552,309
0,0,0,0,30,532
0,0,0,0,934,218
0,0,7.825525761,5,85,85
0,0,0,0,626,541
0,0,0,5,212,457
0,0,3.438912392,7,638,60
0,0,14.59255028,0,85,60
0,0,0,0,162,210
0,0,8.735691071,0,618,212
0,0,41.7011795,0,1026,360
0,0,27.33604431,0,768,577
0,0,12.04828167,53,677,192
0,0,0,15,524,60
0,0,16.45366669,0,190,499
0,0,38.54413986,0,630,255
0,0,0,0,577,421
0,0,0,5,182,30
0,0,41.04491043,0,1191,466
0,0,10.75958347,0,242,85
0,0,0,0,437,361
0,0,8.159014702,0,60,283
0,0,0,5,190,201
0,0,18.94158936,0,391,0
0,0,5.710593224,0,285,702
0,0,0,0,485,201
0,0,0,0,541,474
0,0,0,0,319,175
0,0,15.42324543,0,335,564
0,0,0,5,430,242
0,0,2.698951006,15,371,67
0,0,34.54336548,0,882,272
0,0,32.40116119,0,524,690
0,0,0,0,1045,240
0,0,24.7486248,0,470,426
0,0,0,5,742,85
0,0,0,0,626,108
0,0,29.85463905,0,108,190
0,0,25.14243126,0,350,484
0,0,0,0,30,30
0,0,0,25,67,256
0,0,1.350224495,38,60,258
0,0,25.37693405,0,1214,698
0,0,0,20,255,60
0,0,22.81394196,0,42,150
0,0,34.7847023,0,977,816
0,0,0,10,242,234
0,0,1.350224495,14,696,30
0,0,0,0,371,300
0,0,5.550718307,0,268,108
0,0,37.19921875,0,108,95
0,0,16.60154915,0,987,42
0,0,21.83567238,0,658,474
0,0,27.61309814,0,787,604
0,0,35.39887619,0,1106,899
0,0,9.462322235,0,60,85
0,0,0,0,450,228
0,0,10.04678822,0,190,60
0,0,12.22512245,0,492,150
0,0,0,0,376,210
0,0,3.438912392,0,420,150
0,0,15.9999361,5,190,0
0,0,0,0,323,277
0,0,0,0,228,150
0,0,0,15,510,228
0,0,0,0,594,42
0,0,28.11888695,0,361,339
0,0,0,7,551,283
0,0,8.159014702,0,240,0
0,0,40.89864349,0,192,175
0,0,6.853224754,5,201,395
0,0,0,0,446,42
0,0,19.82702827,0,201,30
0,0,0,5,633,190
0,0,8.049467087,0,150,247
0,0,25.14243126,0,350,484
0,0,8.735691071,0,162,242
0,0,0,0,636,124
0,0,34.37781906,0,324,309
0,0,2.134299994,10,67,150
0,0,30.61885834,0,1103,816
0,0,1.350224495,0,616,0
0,0,15.17970562,0,60,524
0,0,6.721369267,0,450,120
0,0,12.22512245,0,552,153
0,0,28.6657505,0,430,510
0,0,6.853224754,47,450,247
0,0,17.77531624,0,518,371
0,0,12.22512245,0,484,85
0,0,12.36455345,0,541,400
0,0,0,0,454,256
0,0,0,0,30,124
0,0,0,0,30,30
0,0,33.05825806,0,283,391
0,0,0,26,134,30
0,0,23.39774132,0,1207,591
0,0,0,22,182,470
0,0,13.42150879,22,283,474
0,0,2.698951006,0,162,201
0,0,16.60154915,0,987,42
0,0,12.22512245,0,738,30
0,0,11.38616467,0,60,626
0,0,0,0,285,127
0,0,2.134299994,0,42,212
0,0,17.77531624,0,618,437
0,0,0,35,42,150
0,0,0,0,484,433
0,0,0,0,641,301
0,0,10.04678822,0,330,153
0,0,0,14,42,60
0,0,2.8624053,0,658,0
0,0,16.72355843,0,646,210
0,0,0,0,514,150
0,0,0,10,360,0
0,0,2.134299994,0,492,0
0,0,8.104435921,0,371,150
0,0,14.50637245,0,150,573
0,0,15.17970562,0,313,0
0,0,0,10,390,297
0,0,39.81120682,0,1106,395
0,0,1.909152389,11,295,30
0,0,0,0,228,684
0,0,0,0,870,247
0,0,45.65706635,20,192,190
0,0,1.350224495,7,537,30
0,0,10.04678822,0,295,42
0,0,0.954841316,0,1127,268
0,0,10.04678822,0,319,67
0,0,29.80241394,0,234,212
0,0,0,0,454,256
0,0,0,25,270,607
0,0,0,0,270,90
0,0,0,11,201,192
0,0,0,14,309,150
0,0,1.350224495,0,631,60
0,0,0,14,573,95
0,0,0,14,942,90
0,0,8.582483292,0,474,324
0,0,0,0,553,60
0,0,3.931095839,0,190,60
0,0,9.368915558,5,175,162
0,0,9.870926857,0,30,485
0,0,14.59255028,0,85,60
0,0,0,10,190,182
0,0,0,0,674,67
0,0,13.91580868,0,1082,127
0,0,14.62114429,7,778,30
0,0,6.01728487,15,551,85
0,0,4.763641834,0,283,30
0,0,12.6382246,35,713,192
0,0,0,0,268,192
0,0,0,0,655,85
0,0,0,14,153,390
0,0,0,0,589,60
0,0,47.72958374,0,1173,540
0,0,25.37693405,0,834,474
0,0,23.42869186,0,1062,283
0,0,7.653048515,0,765,175
0,0,1.350224495,25,234,90
0,0,0,5,175,170
0,0,0,0,825,376
0,0,10.75958347,0,892,256
0,0,0,5,541,216
0,0,0,0,660,272
